Aabye;Aa-bye
Aachen;Aa-chen
aachenský;aa-chen-ský
aak;aak
aalen;aa-len
aam;aam
aba;a-ba
abája;abá-ja
abaka;aba-ka
abak;abak
abakový;aba-ko-vý
abalda;abal-da
abampér;ab-am-pér
abandon;aban-don
abandonovat;aban-do-no-vat
abaton;aba-ton
abatyše;aba-ty-še
abatyšský;aba-tyš-ský
abaxiální;aba-xiál-ní
abaz;abaz
abázie;abá-zie
abažúr;aba-žúr
abažúrový;aba-žú-ro-vý
abbé;abbé
abbéovský;ab-bé-ov-ský
abcoulomb;ab-cou-lomb
abd;abd
abdérita;ab-dé-ri-ta
abdéritský;ab-dé-rit-ský
abdikace;ab-di-ka-ce
abdikační;ab-di-kač-ní
abdikovat;ab-di-ko-vat
abdomen;ab-do-men
abdominální;ab-do-mi-nál-ní
abdukce;ab-duk-ce
abdukční;ab-duk-ční
abduktor;ab-duk-tor
abeceda;abe-ce-da
abecedně;abe-ced-ně
abecední;abe-ced-ní
Abel;Abel
aberace;abe-ra-ce
aberační;abe-rač-ní
aberantní;abe-ran-t-ní
aberovat;abe-ro-vat
abertamský;aber-tam-ský
Abertamy;Aber-ta-my
abfarad;ab-fa-rad
abgébovat;ab-gé-bo-vat
abhenry;ab-he-n-ry
Abcházie;Ab-chá-zie
Abchazsko;Ab-chaz-sko
abchazský;ab-chaz-ský
abcházština;ab-cház-šti-na
Abidžan;Abi-džan
abidžanský;abi-džan-ský
abichit;abi-chit
abilympiáda;abi-lym-piá-da
abilympijský;abi-lym-pij-ský
abiogenetický;abio-ge-ne-tic-ký
abiogeneze;abio-ge-ne-ze
abiogenní;abio-gen-ní
abiolympiáda;abi-olym-piá-da
abiotický;abio-tic-ký
abiturient;abi-tu-rient
abiturientka;abi-tu-rient-ka
abiturientní;abi-tu-rient-ní
abiturientský;abi-tu-rient-ský
abjurace;ab-ju-ra-ce
abjurační;ab-ju-rač-ní
ablace;ab-la-ce
ablační;ab-lač-ní
ablaktace;ab-lak-ta-ce
ablaktační;ab-lak-tač-ní
ablativ;ab-la-tiv
ablativní;abla-tiv-ní
ablaut;ab-laut
ablautový;ab-lau-to-vý
ablefarie;ab-le-fa-rie
ablegát;ab-le-gát
abluencium;ab-luen-cium
abnormalita;ab-nor-ma-li-ta
abnormálně;ab-nor-mál-ně
abnormální;ab-nor-mál-ní
abnormálnost;ab-nor-mál-nost
abnormita;ab-nor-mi-ta
abnormně;ab-norm-ně
abnormní;ab-norm-ní
abnormnost;ab-norm-nost
abohm;abo-hm
abolice;abo-li-ce
abolicionismus;abo-li-cio-ni-s-mus
abolicionista;abo-li-cio-ni-s-ta
abolicionistický;abo-li-cio-ni-s-tic-ký
abolicionistka;abo-li-cio-nist-ka
aboliční;abo-lič-ní
abolovat;abo-lo-vat
abonent;abo-nent
abonentka;abo-nent-ka
abonentní;abo-nent-ní
abonentský;abo-nent-ský
abonmá;abon-má
abonovat;abo-no-vat
aborální;abo-rál-ní
abordáž;abor-dáž
aborigenní;abo-ri-gen-ní
abort;abort
abortace;abor-ta-ce
abortér;abor-tér
abortivní;abor-tiv-ní
abortivum;abor-ti-vum
abortus;abor-tus
abradovat;abra-do-vat
abrahamita;ab-ra-ha-mi-ta
abrahámoviny;ab-ra-há-mo-vi-ny
abrachius;abra-chius
abraxas;abra-xas
abraze;ab-ra-ze
abrazit;abra-zit
abrazivně;abra-ziv-ně
abrazivní;ab-ra-ziv-ní
abrazivnost;abra-ziv-nost
abrazivum;ab-ra-zi-vum
abrazní;abraz-ní
abreakce;ab-re-ak-ce
abreaktivní;ab-reak-tiv-ní
abreografie;ab-reo-gra-fie
abreviace;ab-re-via-ce
abreviační;ab-re-viač-ní
abreviatura;ab-re-via-tu-ra
